Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Nolan Arenado,32,128,128,114,1095.2,335,62,264,9,31,.973,-8,-9,1,1,0,2.68,2.28,,,,,,,,3B-DH,arenano01
Luken Baker,26,12,7,5,70.0,56,53,3,0,7,1.000,-1,-10,-2,-34,0,7.20,1.93,,,,,,,,1B-DH,bakerlu01
Jacob Barnes,33,13,0,0,13.2,2,1,1,0,1,1.000,,,-1,-15,0,1.32,0.15,,0,1,1,50%,19%,0,P,barneja01
Tres Barrera,28,6,0,0,7.1,12,12,0,0,0,1.000,-1,-164,0,0,0,14.73,2.00,0,2,2,0,0%,19%,0,C,barretr01
Alec Burleson,24,71,60,36,493.1,205,191,14,0,8,1.000,-6,-15,-4,-10,2,3.74,2.05,,0,0,0,,,0,LF-1B-RF-P-DH,burleal01
Génesis Cabrera,26,32,0,0,32.0,7,4,3,0,1,1.000,,,0,0,0,1.97,0.22,,0,3,0,0%,19%,0,P,cabrege01
Dylan Carlson,24,72,59,53,549.0,143,141,1,1,0,.993,1,3,1,2,-1,2.33,1.82,,,,,,,,CF-RF-LF-DH,carlsdy01
Willson Contreras,31,97,89,81,764.0,718,679,31,8,5,.989,-1,-2,-8,-13,1,8.36,5.59,5,32,42,14,25%,19%,0,C-DH,contrwi01
Paul DeJong,29,81,77,76,687.1,292,93,196,3,37,.990,3,5,0,0,0,3.78,3.57,,,,,,,,SS,dejonpa01
Brendan Donovan,26,75,65,53,585.0,268,172,93,3,32,.989,-10,-21,-3,-6,2,4.08,2.57,,,,,,,,2B-LF-1B-RF-3B-SS-DH,donovbr01
Tommy Edman,28,135,129,109,1125.1,560,284,268,8,68,.986,5,5,3,3,1,4.41,3.70,,,,,,,,SS-2B-CF-RF,edmanto01
José Fermín,24,18,16,13,143.1,67,21,44,2,5,.970,-1,-4,2,17,0,4.08,3.42,,,,,,,,2B-3B-DH,fermijo01
Jack Flaherty,27,20,20,0,109.2,21,14,7,0,1,1.000,,,3,5,0,1.72,1.05,,6,3,2,40%,19%,0,P,flaheja01
Giovanny Gallegos,31,56,0,0,55.0,7,3,4,0,0,1.000,,,0,0,0,1.15,0.13,,3,4,0,0%,19%,0,P,gallegi01
Paul Goldschmidt,35,133,133,120,1153.1,1165,1048,115,2,122,.998,2,2,3,3,2,9.08,7.55,,,,,,,,1B-DH,goldspa01
Nolan Gorman,23,88,79,71,703.1,340,111,223,6,55,.982,2,4,-2,-3,-2,4.27,2.78,,,,,,,,2B-3B-DH,gormano01
Ryan Helsley,28,33,0,0,36.2,5,2,3,0,0,1.000,,,0,0,0,1.23,0.15,,3,2,1,33%,19%,1,P,helslry01
Iván Herrera,23,13,10,10,92.0,82,76,6,0,0,1.000,0,0,0,0,-1,8.02,6.31,0,8,4,2,33%,19%,0,C,herreiv01
Jordan Hicks,26,40,0,0,41.2,10,5,4,1,0,.900,,,-1,-5,-1,1.94,0.23,,7,0,2,100%,19%,0,P,hicksjo03
Dakota Hudson,28,18,12,0,81.1,19,10,9,0,1,1.000,,,0,0,0,2.10,1.06,,5,2,0,0%,19%,0,P,hudsoda02
John King,28,20,0,0,18.2,7,2,5,0,1,1.000,,,0,0,0,3.38,0.35,,0,2,0,0%,19%,0,P,kingjo01
Andrew Knizner,28,69,63,49,566.0,494,472,21,1,5,.998,-3,-6,-3,-6,1,7.84,7.04,3,20,52,8,13%,19%,0,C-1B-DH,kniznan01
Casey Lawrence,35,15,0,0,27.1,3,1,2,0,0,1.000,,,-1,-7,0,0.99,0.20,,0,4,0,0%,19%,0,P,lawreca01
Kyle Leahy,26,3,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,leahyky01
Matthew Liberatore,23,22,11,0,61.2,9,3,6,0,0,1.000,,,0,0,0,1.31,0.41,,4,6,1,14%,19%,1,P,liberma01
Irving Lopez,28,5,3,2,27.0,8,2,5,1,1,.875,-1,-31,-1,-44,0,2.33,1.40,,,,,,,,3B-2B,lopezir01
Steven Matz,32,25,17,0,105.0,23,10,12,1,1,.957,,,1,2,0,1.89,0.88,,2,13,1,7%,19%,0,P,matzst01
Óscar Mercado,28,17,7,3,89.0,27,25,0,2,0,.926,-1,-12,-3,-40,-1,2.53,1.14,,,,,,,,RF-LF-CF-DH,mercaos01
Miles Mikolas,34,35,35,0,201.1,31,18,13,0,2,1.000,,,0,0,0,1.39,0.89,,4,12,5,29%,19%,1,P,mikolmi01
Jordan Montgomery,30,21,21,0,121.0,22,10,11,1,0,.955,,,-2,-3,0,1.56,1.00,,3,9,0,0%,19%,0,P,montgjo01
Taylor Motter,33,28,21,14,188.0,77,26,50,1,11,.987,-1,-6,0,0,0,3.64,2.38,,,,,,,,2B-3B-SS-RF-1B-DH,motteta01
James Naile,30,10,0,0,15.1,4,3,1,0,0,1.000,,,0,0,0,2.35,0.40,,0,0,0,,,0,P,naileja01
Packy Naughton,27,4,0,0,5.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,naughpa01
Lars Nootbaar,25,114,110,87,964.0,276,268,6,2,2,.993,7,8,3,4,-1,2.56,2.06,,,,,,,,CF-RF-LF-DH,nootbla01
Tyler O'Neill,28,70,58,57,534.2,115,108,5,2,0,.983,-6,-13,-1,-2,1,1.90,1.57,,,,,,,,LF-CF-DH,oneilty01
Richie Palacios,26,27,25,21,223.0,49,43,4,2,1,.959,-4,-21,-1,-5,1,1.90,1.52,,,,,,,,LF-CF-RF-2B-DH,palacri01
Andre Pallante,24,62,0,0,68.0,20,11,9,0,0,1.000,,,-3,-9,0,2.65,0.32,,6,15,3,17%,19%,0,P,pallaan01
Juniel Querecuto,30,8,5,4,51.0,31,13,17,1,2,.968,0,5,1,24,0,5.29,3.33,,,,,,,,3B-2B-1B,quereju01
Drew Rom,23,8,8,0,33.2,4,2,2,0,1,1.000,,,-1,-6,0,1.07,0.50,,1,2,1,33%,19%,0,P,romdr01
JoJo Romero,26,27,0,0,36.2,11,2,7,2,1,.818,,,1,5,0,2.21,0.33,,2,0,1,100%,19%,0,P,romerjo01
Michael Siani,23,3,0,0,10.0,3,3,0,0,0,1.000,0,-48,-1,-120,0,2.70,0.60,,,,,,,,CF-DH,sianimi01
Chris Stratton,32,42,0,0,53.2,6,4,2,0,1,1.000,,,1,4,0,1.01,0.14,,4,5,2,29%,19%,0,P,stratch01
Andrew Suárez,30,13,0,0,27.2,1,1,0,0,0,1.000,,,0,0,0,0.33,0.08,,2,0,0,,,0,P,suarean01
Ryan Tepera,35,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,teperry01
Zack Thompson,25,25,9,0,66.1,9,2,7,0,1,1.000,,,1,3,0,1.22,0.36,,3,2,3,60%,19%,1,P,thompza02
Drew VerHagen,32,60,0,0,61.0,8,5,3,0,1,1.000,,,-1,-3,0,1.18,0.13,,3,9,0,0%,19%,0,P,verhadr01
Adam Wainwright,41,21,21,0,101.0,19,8,11,0,1,1.000,,,0,0,0,1.69,0.86,,1,4,0,0%,19%,0,P-DH,wainwad01
Jordan Walker,21,110,108,92,923.2,201,188,8,5,0,.975,-25,-33,-16,-21,2,1.91,1.65,,,,,,,,RF-LF-DH,walkejo02
Masyn Winn,21,37,36,36,318.0,147,54,90,3,25,.980,-2,-8,-1,-4,1,4.08,3.89,,,,,,,,SS,winnma01
Jake Woodford,26,15,8,0,47.2,11,6,5,0,0,1.000,,,-1,-4,0,2.08,0.73,,3,2,1,33%,19%,0,P,woodfja01
Juan Yepez,25,12,8,3,65.0,14,13,1,0,0,1.000,-3,-59,-2,-37,0,1.94,0.61,,,,,,,,LF-RF-DH,yepezju01
Guillo Zuñiga,24,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,zuniggu01
Infield Shifts,,,,,,,,,,,,,,34,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Team Totals,27.9,162,1458,1109,12855.0,5944,4285,1592,67,154,.989,-54,-5,-7,,,4.11,2.79,8,124,100,24,19%,19%,4,,-9999
Rank in 15 NL teams,,,,,,,,,2,,2,,,,,,,,,,,,,,,,-9999